"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
8842,"Amministrazione e gestione d'impresa","Economia, Management e Statistica",2017,0.42,0.69,0.02,0.98,0.92,0.56,0.59,0.24,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8842","Rimini","Rimini","Economia, Management e Statistica","Laurea Magistrale",2,"True","","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
8845,"Scienze storiche e orientalistiche","Lettere e Beni culturali",2017,0.68,0.53,0.11,0.85,0.9,0.42,0.43,0.23,0.21,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8845","Bologna","Bologna","Lettere e Beni culturali","Laurea Magistrale",2,"True","Titolo multiplo (solo alcuni curricula)","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
8847,"Economia del turismo","Economia, Management e Statistica",2017,0.51,0.51,0.07,0.87,0.88,0.48,0.27,0.32,0.66,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8847","Rimini","Rimini","Economia, Management e Statistica","Laurea",3,"True","","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
8848,"Economia dell'impresa","Economia, Management e Statistica",2017,0.34,0.5,0.04,0.81,0.88,0.47,0.3,0.4,0.62,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8848","Rimini","Rimini","Economia, Management e Statistica","Laurea",3,"False","","","Italiano","numero chiuso"
8849,"Beni culturali","Lettere e Beni culturali",2017,0.4,0.43,0.06,0.93,0.88,0.29,0.31,0.61,0.58,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8849","Ravenna","Ravenna","Lettere e Beni culturali","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8850,"Lettere","Lettere e Beni culturali",2017,0.59,0.43,0.14,0.88,0.88,0.26,0.25,0.71,0.7,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8850","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"True","Titolo multiplo (solo alcuni curricula)","","Italiano","libero accesso con verifica delle conoscenze"
8851,"Economia e commercio","Economia, Management e Statistica",2017,0.17,0.52,0.09,0.94,0.88,0.41,0.3,0.5,0.62,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8851","Forlì","Forlì","Economia, Management e Statistica","Laurea",3,"False","","","Italiano","numero chiuso"
8852,"Scienze della comunicazione","Lettere e Beni culturali",2017,0.49,0.45,0.1,0.9,0.85,0.48,0.44,0.42,0.41,"2016/2017","False","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8852","Bologna","Bologna","Lettere e Beni culturali","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8853,"Scienze politiche, sociali e internazionali","Scienze politiche",2017,0.63,0.49,0.14,0.9,0.89,0.29,0.31,0.64,0.59,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8853","Bologna","Bologna","Scienze politiche","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
8854,"Quantitative finance","Economia, Management e Statistica",2017,0.72,0.62,0.17,0.85,0.88,0.79,0.69,0.13,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8854","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
